Probing Associativity with Stride = 2097152 bytes
Ways	Avg_Time(ns)
--------------------
1	2.2981
2	2.1243
3	2.1271
4	2.2323
5	2.0677
6	2.2625
7	3.7292
8	4.9151
9	5.2796
10	5.3628
11	4.9082
12	5.6728  <-- 12 ways for L3
13	8.8973
14	9.1224
15	9.0221
16	9.0813
17	9.1329
18	9.0362
19	8.9426
20	8.9232
21	9.2488
22	9.3006
23	9.0992
24	8.9440
25	9.3784
26	9.1485
27	9.2259
28	9.1996
29	10.8417
30	10.1267
31	11.1669
32	9.3742
Probing Associativity with Stride = 4096 bytes
Ways	Avg_Time(ns)
--------------------
1	2.1980
2	2.3184
3	2.0863
4	2.0813
5	2.0738
6	2.0647
7	2.0374
8	2.0833
9	2.0171
10	2.3057
11	2.0313
12	3.7478
13	6.2784
14	6.3107
15	6.1352
16	6.5775
17	6.2210
18	6.1782
19	6.5912
20	6.2795
21	6.3862
22	6.3294
23	6.4575
24	6.1890
25	6.1482
26	7.7365
27	6.2433
28	8.3547
29	6.1129
30	6.6466
31	6.0980
32	6.1168
Probing Associativity with Stride = 2097152 bytes
Ways	Avg_Time(ns)
--------------------
1	2.1584
2	2.0931
3	2.0153
4	2.3064
5	2.0573
6	2.0501
7	4.7796
8	4.9438
9	4.9137
10	4.8600
11	5.0630
12	5.5922
13	11.1353
14	9.0602
15	9.1883
16	9.3625
17	9.6773
18	8.9931
19	9.1972
20	9.0076
21	9.6294
22	10.5765
23	10.0864
24	9.7132
25	9.8733
26	9.8318
27	9.8022
28	12.6565
29	13.3170
30	11.1566
31	10.0583
32	10.4032
