Probing Associativity with Stride = 4096 bytes
Ways	Avg_Time(ns)
--------------------
1	2.2049
2	2.1267
3	2.1740
4	2.2133
5	2.0927
6	2.0940
7	2.0193
8	2.1018
9	2.0638
10	2.0600
11	2.1400
12	6.2430
13	6.6821
14	6.5047
15	6.2636
16	6.2222
17	6.3649
18	6.5314
19	6.2321
20	6.0425
21	6.0754
22	6.7299
23	6.2933
24	6.1931
25	6.2504
26	6.1335
27	6.8173
28	6.2058
29	6.3070
30	6.0763
31	5.9673
32	6.0031
Probing Associativity with Stride = 2097152 bytes
Ways	Avg_Time(ns)
--------------------
1	2.0680
2	2.0473
3	2.0150
4	2.0275
5	2.0224
6	2.3695
7	4.6657
8	4.9078
9	4.9458
10	4.9704
11	4.9532
12	4.8751
13	9.0470
14	9.2496
15	8.9296
16	8.9409
17	9.0686
18	8.9510
19	9.9104
20	10.1994
21	9.6729
22	9.2510
23	9.4343
24	9.0625
25	9.9473
26	9.9025
27	9.4831
28	9.5544
29	9.5345
30	10.9736
31	10.1458
32	10.6528
Probing Associativity with Stride = 4096 bytes
Ways	Avg_Time(ns)
--------------------
1	2.1428
2	2.1723
3	2.0994
4	2.0724
5	2.0229
6	2.0510
7	2.0382
8	2.4094
9	2.1310
10	2.1021
11	2.1781
12	4.7206
13	6.1385
14	6.1544
15	6.0553
16	6.6204
17	6.1275
18	6.4509
19	6.2468
20	6.1691
21	6.5035
22	6.1027
23	6.0068
24	6.3808
25	6.4778
26	6.4747
27	6.7007
28	6.6209
29	6.8696
30	6.3705
31	7.0143
32	6.3100
